"ORIGINURI","ID","UUIDHISTORY","CODE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","SCOPENOTE"
"http://data.europa.eu/esco/isced-f/00","key_18782","15bae50a-50dc-4212-a72d-8d60f42a127b","","generic programmes and qualifications","generic programmes and qualifications","Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.",""
"http://data.europa.eu/esco/isced-f/000","key_18783","3d65a1d7-e749-4067-b44b-57313ec028bd","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined","",""
"http://data.europa.eu/esco/isced-f/0000","key_18784","9c170faf-3c84-4c2e-810a-a8ecb8df3fc0","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined","",""
"http://data.europa.eu/esco/isced-f/001","key_18785","1d5877c4-25a2-4fdf-aaca-6152ffede1cb","","basic programmes and qualifications","basic programmes and qualifications","",""
"http://data.europa.eu/esco/isced-f/0011","key_18786","d8b2e9ca-1ece-4183-9d03-734a38ce6c38","","basic programmes and qualifications","basic programmes and qualifications","Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.",""
"http://data.europa.eu/esco/isced-f/002","key_18787","0186ae27-f448-42f0-8c77-123fb445d729","","literacy and numeracy","literacy and numeracy","",""
"http://data.europa.eu/esco/isced-f/0021","key_18788","d3f548f5-405f-4f3d-8c03-0dba34221a09","","literacy and numeracy","literacy and numeracy","Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy",""
"http://data.europa.eu/esco/isced-f/003","key_18789","b47c0350-b843-4c56-bbab-35392858e886","","personal skills and development","personal skills and development","",""
"http://data.europa.eu/esco/isced-f/0031","key_18790","f0cb670f-d816-4ef6-a6c1-4faa425103dc","","personal skills and development","personal skills and development","Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",""
"http://data.europa.eu/esco/isced-f/009","key_18791","ce9d8742-d4db-4cc7-be61-4dc08003ede3","","generic programmes and qualifications not elsewhere classified","generic programmes and qualifications not elsewhere classified","",""
