"ORIGINURI","ID","UUIDHISTORY","CODE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","SCOPENOTE"
"http://data.europa.eu/esco/isced-f/00","key_620","e580fc64-fd3b-41b9-bfd1-ea2150914060
40759be8-5e4a-4713-8a56-3a0252a82548
69946bbe-9552-4d3f-b58e-b0a61645accc
d4d4e095-b603-4be6-b3b8-4f1330a3f19e","","generic programmes and qualifications","generic programmes and qualifications","Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.",""
"http://data.europa.eu/esco/isced-f/000","key_621","1b9ef9ea-2627-47c6-a9e9-f4da0cc057d8
225a71b5-9f30-452d-bec6-954218359a9b
c21f3d18-31a1-42e5-af42-f55b5c9b0ad2
ed5520dc-1721-49e4-a8de-fbae36ba7e5e","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined","",""
"http://data.europa.eu/esco/isced-f/0000","key_622","2bd5c428-94d4-4123-9f96-3f9100cbd291
d1301f8d-f05d-4278-8d5f-f8f089f07a3c
5378d440-ca0f-4e4e-b9d4-70efe7c92b15
d679e2f9-ebc4-4c2b-800f-1732ea94c74b","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined","",""
"http://data.europa.eu/esco/isced-f/001","key_623","32af8f0a-256e-4246-943e-19c6677e6007
ae494516-47aa-4e55-a01d-d2ce9d903618
32488c4e-39a5-4dc4-95b4-e7a6733e288b
705aa849-cf24-4219-84c6-3f7a90a8c58c","","basic programmes and qualifications","basic programmes and qualifications","",""
"http://data.europa.eu/esco/isced-f/0011","key_624","ee153c00-ecb2-43ce-9475-29fb9764c517
acb4a378-2d92-43f7-b1f2-2fc30256df2f
3cbac60e-3521-4876-aad0-a576af0222c1
b4b07d7c-6ef2-4aae-ae12-f52636da59af","","basic programmes and qualifications","basic programmes and qualifications","Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.",""
"http://data.europa.eu/esco/isced-f/002","key_625","a8e56c66-25e6-44e6-afd3-84cd96926ec2
8d527863-992f-431e-8d99-fece30606a73
46a562de-d7bd-4171-8920-0dfe0d9d5bd2
181996d3-f1b8-4c64-81f5-d4029ec35594","","literacy and numeracy","literacy and numeracy","",""
"http://data.europa.eu/esco/isced-f/0021","key_626","d516b74d-9699-436c-b08e-6c10efb225e6
047a9797-e22b-40f0-bd09-9aea7410d372
47699e79-d78d-4f36-8312-8f2dbfd82348
e9d59046-6dc8-4e8e-ba10-46c81807d262","","literacy and numeracy","literacy and numeracy","Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy",""
"http://data.europa.eu/esco/isced-f/003","key_627","1f36028a-6d05-4330-85ac-c72c43980f5f
c0830ade-1fac-4108-9e13-a507b967149b
1f75e70d-f92a-403f-a383-88659194852b
386fe5b7-05dc-4bc7-9cc6-f325db7747fd","","personal skills and development","personal skills and development","",""
"http://data.europa.eu/esco/isced-f/0031","key_628","6dedf379-14ba-47f5-91c6-b3462366199f
5279aaa9-7064-4557-980f-ce62ba8ea2c2
8af0d02b-18c5-4706-b9af-c1e586e7a308
3643ac30-9091-4606-9623-73c024ed3c8c","","personal skills and development","personal skills and development","Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",""
"http://data.europa.eu/esco/isced-f/009","key_629","90eae15a-5100-4db3-be96-32f90eb8ab63
10357626-9bac-40d0-a9d0-56be7c5e134a
d04da3da-45af-4c8c-8b68-68bd2cfa07e5
0c0e05e2-1de6-436d-9e94-2eb8a96b2102","","generic programmes and qualifications not elsewhere classified","generic programmes and qualifications not elsewhere classified","",""
"http://data.europa.eu/esco/isced-f/0099","key_630","e4cbd963-cbf6-457b-8461-26d2a9afd4c5
40afd0ea-ebc2-47ff-9f9d-80a48f581da6
b7242a70-a7c5-4974-8664-b764246f3750
53058baa-8baf-4604-a7d1-1e5b5f13ca15","","generic programmes and qualifications not elsewhere classified","generic programmes and qualifications not elsewhere classified","",""
"http://data.europa.eu/esco/isced-f/01","key_631","85d6e6f4-edce-4058-be0b-6cf517c2dbdb
c85c1d95-ee21-44e5-b2fc-67e0c2a571fe
7a338b9a-f296-4641-8057-babc83430b13
a29c613c-58c4-43a3-ac90-ca75578f4c28","","education","education","",""
"http://data.europa.eu/esco/isced-f/011","key_632","a2d25e45-6617-4fef-9738-add0e33ecde3
f7be4f71-c88d-49b5-b5dc-198a729fc782
b3e1b406-bd4e-4377-b312-95c845e2f4b8
59fa4acd-d66c-4e00-9a29-c484322e3092","","education","education","",""
"http://data.europa.eu/esco/isced-f/0110","key_633","8c056e9d-db02-4517-ae8d-c890059ff1ad
dab913d9-88ed-45a8-a3ff-a4af3c56f4c7
e85eb357-5546-45b5-a197-44bb39f10a47
748364a7-39b0-450f-afc0-4904b36246e8","","education not further defined","education not further defined","",""
"http://data.europa.eu/esco/isced-f/0111","key_634","f8a3c7cc-d8e2-4ffb-b5e7-0ea172db05a1
a52b539e-d9ab-40f9-a7f5-da3eff39c77d
68f829e2-2a5e-4eed-a26a-3141cb8330b4
5a770859-6f7b-40dd-b5a8-2b87320cdc0b","","education science","education science","Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).",""
